Value,Emotion,Time_Mins_Secs
1,anger,0:02:56
1,anger,0:03:11
3,anger,0:03:13
3,anger,0:03:18
1,anger,0:03:19
7,anger,0:03:23
2,anger,0:03:27
1,anger,0:03:29
3,anger,0:03:30
1,anger,0:03:33
6,anger,0:03:34
3,anger,0:03:36
5,anger,0:03:38
6,anger,0:03:39
7,anger,0:03:41
2,anger,0:03:42
6,anger,0:03:42
2,anger,0:03:42
6,anger,0:03:45
8,anger,0:03:45
1,anger,0:03:46
7,anger,0:03:46
6,anger,0:03:47
6,anger,0:03:49
1,anger,0:03:49
7,anger,0:03:49
3,anger,0:03:50
2,anger,0:03:51
6,anger,0:03:52
3,anger,0:03:53
8,anger,0:03:54
1,anger,0:03:58
2,anger,0:03:58
6,anger,0:03:58
1,anger,0:03:59
2,anger,0:03:59
3,anger,0:04:03
3,anger,0:04:06
2,anger,0:04:06
1,anger,0:04:08
7,anger,0:04:08
1,anger,0:04:08
8,anger,0:04:08
5,anger,0:04:08
5,anger,0:04:10
3,anger,0:04:11
1,anger,0:04:12
7,anger,0:04:13
6,anger,0:04:13
6,anger,0:04:13
3,anger,0:04:14
3,anger,0:04:14
2,anger,0:04:15
6,anger,0:04:15
4,anger,0:04:15
3,anger,0:04:16
3,anger,0:04:16
3,anger,0:04:17
6,anger,0:04:17
5,anger,0:04:17
4,anger,0:04:17
3,anger,0:04:18
5,anger,0:04:19
4,anger,0:04:19
7,anger,0:04:19
6,anger,0:04:21
7,anger,0:04:21
1,anger,0:04:22
8,anger,0:04:22
3,anger,0:04:22
4,anger,0:04:23
4,anger,0:04:23
3,anger,0:04:23
1,anger,0:04:24
7,anger,0:04:24
1,anger,0:04:24
6,anger,0:04:24
2,anger,0:04:24
6,anger,0:04:25
4,anger,0:04:26
4,anger,0:04:26
5,anger,0:04:26
2,anger,0:04:27
1,anger,0:04:27
7,anger,0:04:28
1,anger,0:04:28
4,anger,0:04:28
1,anger,0:04:29
6,anger,0:04:29
7,anger,0:04:29
4,anger,0:04:30
1,anger,0:04:30
3,anger,0:04:30
5,anger,0:04:31
1,anger,0:04:31
4,anger,0:04:31
6,anger,0:04:31
2,anger,0:04:32
1,anger,0:04:32
8,anger,0:04:32
7,anger,0:04:32
2,anger,0:04:33
7,anger,0:04:34
6,anger,0:04:34
3,anger,0:04:34
3,anger,0:04:35
6,anger,0:04:36
4,anger,0:04:36
5,anger,0:04:37
7,anger,0:04:37
2,anger,0:04:38
3,anger,0:04:39
8,anger,0:04:39
2,anger,0:04:40
6,anger,0:04:40
7,anger,0:04:40
2,anger,0:04:40
6,anger,0:04:40
2,anger,0:04:41
4,anger,0:04:41
2,anger,0:04:41
2,anger,0:04:41
5,anger,0:04:42
8,anger,0:04:42
2,anger,0:04:42
7,anger,0:04:42
4,anger,0:04:42
5,anger,0:04:42
4,anger,0:04:43
1,anger,0:04:43
7,anger,0:04:44
2,anger,0:04:44
1,anger,0:04:44
7,anger,0:04:44
4,anger,0:04:44
7,anger,0:04:45
6,anger,0:04:46
6,anger,0:04:46
7,anger,0:04:46
2,anger,0:04:46
6,anger,0:04:46
4,anger,0:04:46
6,anger,0:04:47
6,anger,0:04:47
1,anger,0:04:47
6,anger,0:04:47
3,anger,0:04:47
2,anger,0:04:48
4,anger,0:04:48
6,anger,0:04:48
2,anger,0:04:48
4,anger,0:04:49
2,anger,0:04:49
7,anger,0:04:49
4,anger,0:04:49
5,anger,0:04:49
7,anger,0:04:49
1,anger,0:04:50
4,anger,0:04:50
1,anger,0:04:50
4,anger,0:04:50
6,anger,0:04:51
2,anger,0:04:51
4,anger,0:04:51
2,anger,0:04:51
4,anger,0:04:52
7,anger,0:04:52
1,anger,0:04:53
6,anger,0:04:53
4,anger,0:04:53
6,anger,0:04:54
3,anger,0:04:54
3,anger,0:04:54
8,anger,0:04:54
3,anger,0:04:54
4,anger,0:04:55
2,anger,0:04:55
3,anger,0:04:55
2,anger,0:04:55
7,anger,0:04:55
5,anger,0:04:56
1,anger,0:04:56
6,anger,0:04:56
1,anger,0:04:56
6,anger,0:04:56
6,anger,0:04:56
6,anger,0:04:57
5,anger,0:04:57
3,anger,0:04:57
1,anger,0:04:57
1,anger,0:04:58
1,anger,0:04:58
6,anger,0:04:58
3,anger,0:04:59
2,anger,0:04:59
3,anger,0:04:59
1,anger,0:04:59
6,anger,0:04:59
4,anger,0:04:59
4,anger,0:04:59
1,anger,0:04:59
2,anger,0:04:59
4,worry,0:04:59
4,disgust,0:04:59
3,fear,0:04:59
4,anxiety,0:04:59
2,sadness,0:04:59
3,happiness,0:04:59
6,relaxation,0:04:59
6,desire,0:04:59
4,anger,0:05:00
8,anger,0:05:00
4,anger,0:05:00
4,anger,0:05:00
2,anger,0:05:00
7,anger,0:05:01
6,anger,0:05:01
3,anger,0:05:01
1,anger,0:05:01
5,anger,0:05:01
7,anger,0:05:02
8,anger,0:05:02
7,anger,0:05:02
3,anger,0:05:02
3,anger,0:05:03
7,anger,0:05:03
8,anger,0:05:03
2,anger,0:05:03
4,anger,0:05:03
6,anger,0:05:03
3,anger,0:05:04
6,anger,0:05:04
5,anger,0:05:04
