Value,Emotion,Time_Mins_Secs
3,anger,00:04:59
1,anger,00:04:22
6,anger,00:04:46
2,anger,00:04:59
5,anger,00:05:28
8,anger,00:06:39
4,anger,00:07:03
2,anger,00:05:38
3,anger,00:05:43
1,anger,00:06:47
6,anger,00:06:43
1,anger,00:07:58
4,anger,00:08:56
5,anger,00:09:23
5,anger,00:09:28
2,anger,00:12:29
1,anger,00:13:57
4,anger,00:14:57
2,anger,00:15:14
5,anger,00:16:56
3,anger,00:16:49
6,anger,00:18:49
6,anger,00:18:19
6,anger,00:18:32
1,anger,00:40:11
2,anger,00:07:54
8,anger,00:03:54
1,anger,00:03:29
2,anger,00:06:17
4,anger,00:06:05
6,anger,00:09:53
6,anger,00:05:25
3,anger,00:05:40
1,anger,00:11:51
3,anger,00:04:17
3,anger,00:08:20
5,anger,00:04:42
7,anger,00:09:02
4,anger,00:11:55
4,anger,00:13:41
3,anger,00:10:23
1,anger,00:05:37
7,anger,00:10:11
5,anger,00:05:45
2,anger,00:12:22
2,anger,00:09:31
4,anger,00:04:43
1,anger,00:06:51
6,anger,00:06:25
3,anger,00:10:26
5,anger,00:07:30
3,anger,00:08:46
6,anger,00:06:04
2,anger,00:06:38
4,anger,00:06:42
1,anger,00:04:58
2,anger,00:07:11
7,anger,00:07:51
8,anger,00:14:19
6,anger,00:11:10
4,anger,00:11:32
6,anger,00:07:21
2,anger,00:05:26
1,anger,00:08:53
4,anger,00:07:50
5,anger,00:05:22
3,anger,00:08:39
8,anger,00:11:36
7,anger,00:07:56
1,anger,00:08:23
2,anger,00:06:34
6,anger,00:06:01
8,anger,00:07:37
9,anger,00:07:41
1,anger,00:18:03
1,anger,00:08:03
8,anger,00:04:42
8,anger,00:06:37
6,anger,00:11:30
2,anger,00:05:21
2,anger,00:06:43
3,anger,00:07:48
2,anger,00:05:18
3,anger,00:05:08
8,anger,00:08:31
2,anger,00:12:04
8,anger,00:05:24
5,anger,00:08:05
2,anger,00:07:23
7,anger,00:04:45
2,anger,00:19:41
7,anger,00:06:26
3,anger,00:06:04
7,anger,00:18:14
3,anger,00:06:36
4,anger,00:05:49
6,anger,00:11:20
3,anger,00:06:21
1,anger,00:09:37
2,anger,00:04:41
9,anger,00:11:14
6,anger,00:05:27
7,anger,00:07:25
3,anger,00:09:12
3,anger,00:05:59
2,anger,00:07:12
5,anger,00:07:14
5,anger,00:07:33
7,anger,00:06:43
5,anger,00:07:58
1,anger,00:10:39
9,anger,00:13:23
1,anger,00:07:00
3,anger,00:10:00
4,anger,00:07:16
1,anger,00:06:24
1,anger,00:07:02
5,anger,00:05:18
3,anger,00:06:05
3,anger,00:06:41
5,anger,00:05:53
6,anger,00:12:05
2,anger,00:14:05
3,anger,00:05:04
6,anger,00:06:29
7,anger,00:23:09
3,anger,00:24:36
5,anger,00:11:29
3,anger,00:08:41
2,anger,00:06:12
3,anger,00:06:43
4,anger,00:07:51
7,anger,00:07:51
5,anger,00:12:42
7,anger,00:08:14
6,anger,00:07:01
6,anger,00:08:57
6,anger,00:05:14
7,anger,00:10:19
2,anger,00:13:09
3,anger,00:05:58
2,anger,00:06:03
1,anger,00:03:19
6,anger,00:08:26
3,anger,00:11:06
1,anger,00:05:09
1,anger,00:09:40
8,anger,00:09:40
4,anger,00:10:50
2,anger,00:08:02
8,anger,00:08:14
1,anger,00:11:33
2,anger,00:14:35
4,anger,00:12:02
6,anger,00:05:04
4,anger,00:08:19
7,anger,00:04:13
4,anger,00:14:16
1,anger,00:08:55
7,anger,00:07:52
3,anger,00:05:47
4,anger,00:09:05
4,anger,00:09:51
1,anger,00:12:15
9,anger,00:07:40
4,anger,00:07:00
6,anger,00:09:09
4,anger,00:05:09
4,anger,00:05:50
4,anger,00:06:14
3,anger,00:09:44
3,anger,00:16:30
2,anger,00:27:55
6,anger,00:10:05
9,anger,00:05:36
1,anger,00:10:50
1,anger,00:08:50
4,anger,00:08:39
8,anger,00:06:31
5,anger,00:05:04
2,anger,00:13:30
1,anger,00:10:24
3,anger,00:09:54
4,anger,00:07:24
1,anger,00:07:23
2,anger,00:12:09
2,anger,00:11:32
3,anger,00:04:11
1,anger,00:06:34
4,anger,00:04:30
4,anger,00:08:41
2,anger,00:07:39
7,anger,00:12:09
6,anger,00:06:32
3,anger,00:06:33
2,anger,00:10:50
3,anger,00:12:46
6,anger,00:06:56
2,anger,00:07:49
2,anger,00:09:16
9,anger,00:14:06
5,anger,00:25:11
5,anger,00:06:41
6,anger,00:06:22
2,anger,00:04:15
4,anger,00:06:26
1,anger,00:06:58
6,anger,00:06:32
7,anger,00:13:51
6,anger,00:12:35
2,anger,00:06:36
2,anger,00:05:56
6,anger,00:05:56
5,anger,00:07:10
4,anger,00:09:55
5,anger,00:04:37
2,anger,00:18:24
2,anger,00:11:46
7,anger,00:08:46
2,anger,00:06:37
4,anger,00:15:15
3,anger,00:10:20
2,anger,00:17:13
4,anger,00:05:08
1,anger,00:10:22
3,anger,00:04:06
4,anger,00:08:54
9,anger,00:05:10
3,anger,00:07:41
7,anger,00:09:46
1,anger,00:05:51
6,anger,00:08:57
7,anger,00:10:41
3,anger,00:06:57
9,anger,00:08:20
3,anger,00:05:59
9,anger,00:06:34
1,anger,00:08:53
8,anger,00:11:26
1,anger,00:10:25
5,anger,00:05:57
3,anger,00:07:35
4,anger,00:04:49
3,anger,00:05:59
9,anger,00:12:08
1,anger,00:15:56
1,anger,00:09:41
6,anger,00:08:13
7,anger,00:26:51
1,anger,00:06:34
7,anger,00:12:18
3,anger,00:08:36
2,anger,00:19:02
6,anger,00:07:27
6,anger,00:06:42
2,anger,00:09:40
2,anger,00:08:54
1,anger,00:11:27
5,anger,00:08:20
8,anger,00:05:51
1,anger,00:09:03
4,anger,00:23:07
2,anger,00:04:42
2,anger,00:04:48
4,anger,00:09:32
8,anger,00:07:54
1,anger,00:07:50
1,anger,00:07:31
7,anger,00:09:18
6,anger,00:06:46
6,anger,00:04:25
3,anger,00:05:35
1,anger,00:06:58
5,anger,00:05:43
4,anger,00:06:32
2,anger,00:05:25
5,anger,00:08:40
5,anger,00:06:16
6,anger,00:09:43
9,anger,00:15:54
7,anger,00:05:02
3,anger,00:04:59
1,anger,00:09:36
8,anger,00:05:02
2,anger,00:11:01
3,anger,00:05:52
1,anger,00:06:52
2,anger,00:11:44
7,anger,00:10:30
6,anger,00:08:58
2,anger,00:11:25
3,anger,00:06:38
3,anger,00:15:18
1,anger,00:07:07
5,anger,00:07:54
2,anger,00:05:32
1,anger,00:09:17
4,anger,00:04:41
7,anger,00:04:34
8,anger,00:08:38
4,anger,00:06:04
5,anger,00:08:25
2,anger,00:05:36
2,anger,00:16:55
5,anger,00:07:30
1,anger,00:08:15
6,anger,00:14:25
6,anger,00:04:57
1,anger,00:04:12
7,anger,00:05:52
3,anger,00:07:32
3,anger,00:10:12
2,anger,00:07:01
2,anger,00:04:32
3,anger,00:05:35
3,anger,00:06:52
3,anger,00:05:03
2,anger,00:05:24
4,anger,00:05:49
2,anger,00:08:46
3,anger,00:06:36
6,anger,00:09:04
4,anger,00:08:54
2,anger,00:05:11
1,anger,00:07:18
6,anger,00:07:51
8,anger,00:10:17
1,anger,00:07:33
6,anger,00:06:39
3,anger,00:09:12
6,anger,00:09:43
1,anger,00:09:45
1,anger,00:07:55
8,anger,00:07:09
3,anger,00:06:07
3,anger,00:07:29
6,anger,00:19:42
1,anger,00:08:35
1,anger,00:05:36
2,anger,00:09:55
2,anger,00:07:31
6,anger,00:08:34
6,anger,00:05:15
3,anger,00:07:39
6,anger,00:08:25
7,anger,00:05:46
4,anger,00:08:27
2,anger,00:08:31
8,anger,00:11:14
4,anger,00:11:16
2,anger,00:12:27
6,anger,00:08:52
9,anger,00:08:57
8,anger,00:05:47
5,anger,00:07:51
2,anger,00:09:11
1,anger,00:10:07
3,anger,00:10:57
4,anger,00:10:20
2,anger,00:14:57
2,anger,00:10:05
7,anger,00:07:11
3,anger,00:06:54
1,anger,00:11:21
2,anger,00:06:53
4,anger,00:08:05
4,anger,00:07:57
7,anger,00:05:03
6,anger,00:16:23
7,anger,00:04:44
1,anger,00:06:30
4,anger,00:14:41
6,anger,00:06:48
3,anger,00:07:29
5,anger,00:07:27
7,anger,00:06:49
3,anger,00:08:00
1,anger,00:09:06
2,anger,00:30:36
9,anger,00:17:18
5,anger,00:05:35
3,anger,00:16:51
5,anger,00:08:38
2,anger,00:07:22
1,anger,00:33:01
6,anger,00:10:55
7,anger,00:06:08
8,anger,00:08:52
3,anger,00:08:20
4,anger,00:05:00
5,anger,00:15:06
3,anger,00:08:42
1,anger,00:13:55
1,anger,00:04:58
5,anger,00:10:03
1,anger,00:05:05
6,anger,00:09:12
4,anger,00:11:22
6,anger,00:07:59
6,anger,00:13:57
1,anger,00:14:37
8,anger,00:35:12
6,anger,00:06:42
3,anger,00:15:48
7,anger,00:14:42
2,anger,00:19:00
1,anger,00:08:24
3,anger,00:06:07
3,anger,00:10:57
7,anger,00:09:51
7,anger,00:08:13
7,anger,00:06:41
1,anger,00:07:33
6,anger,00:09:39
5,anger,00:06:44
4,anger,00:06:08
