Value,Emotion,Time_Mins_Secs
1,anger,56
1,anger,11
3,anger,13
3,anger,18
1,anger,19
7,anger,23
2,anger,27
1,anger,29
3,anger,30
1,anger,33
6,anger,34
3,anger,36
5,anger,38
6,anger,39
7,anger,41
2,anger,42
6,anger,42
2,anger,42
6,anger,45
8,anger,45
1,anger,46
7,anger,46
6,anger,47
6,anger,49
1,anger,49
7,anger,49
3,anger,50
2,anger,51
6,anger,52
3,anger,53
8,anger,54
1,anger,58
2,anger,58
6,anger,58
1,anger,59
2,anger,59
3,anger,3
3,anger,6
2,anger,6
1,anger,8
7,anger,8
1,anger,8
8,anger,8
5,anger,8
5,anger,10
3,anger,11
1,anger,12
7,anger,13
6,anger,13
6,anger,13
3,anger,14
3,anger,14
2,anger,15
6,anger,15
4,anger,15
3,anger,16
3,anger,16
3,anger,17
6,anger,17
5,anger,17
4,anger,17
3,anger,18
5,anger,19
4,anger,19
7,anger,19
6,anger,21
7,anger,21
1,anger,22
8,anger,22
3,anger,22
4,anger,23
4,anger,23
3,anger,23
1,anger,24
7,anger,24
1,anger,24
6,anger,24
2,anger,24
6,anger,25
4,anger,26
4,anger,26
5,anger,26
2,anger,27
1,anger,27
7,anger,28
1,anger,28
4,anger,28
1,anger,29
6,anger,29
7,anger,29
4,anger,30
1,anger,30
3,anger,30
5,anger,31
1,anger,31
4,anger,31
6,anger,31
2,anger,32
1,anger,32
8,anger,32
7,anger,32
2,anger,33
7,anger,34
6,anger,34
3,anger,34
3,anger,35
6,anger,36
4,anger,36
5,anger,37
7,anger,37
2,anger,38
3,anger,39
8,anger,39
2,anger,40
6,anger,40
7,anger,40
2,anger,40
6,anger,40
2,anger,41
4,anger,41
2,anger,41
2,anger,41
5,anger,42
8,anger,42
2,anger,42
7,anger,42
4,anger,42
5,anger,42
4,anger,43
1,anger,43
7,anger,44
2,anger,44
1,anger,44
7,anger,44
4,anger,44
7,anger,45
6,anger,46
6,anger,46
7,anger,46
2,anger,46
6,anger,46
4,anger,46
6,anger,47
6,anger,47
1,anger,47
